SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,,,,,,,,,,,,,,,,,,,,,,,
5.25,1822801.0381458849,2320928.0974857546,929060.2851349413,1545885.636209771,287569.76699648635,975542.655481983,1034690.1330345459,1019183.9136117734,623424.3602241687,277246.13292018126,299956.9589816489,1501209.992482435,1023207.0210579485,1257401.3020138722,1410036.8701614253,1401388.6995498966,1143453.9042309225,1555236.518173255,909027.9645996066,2075539.2162577957,1879482.8909824267,1542014.1101690158,1410980.768214196,1129924.6047089621
5.5,2348412.817159239,2151345.811371293,836271.2723752074,1558212.4341184236,340407.0853965605,963701.012225084,930593.7584785745,1154993.3181041833,922437.1137906518,377578.9676435273,299257.97906728345,1503032.0097254328,1139795.1395669281,1182636.0588264316,1535590.9670711104,1426966.7365867216,1454485.7745218873,1894776.894480098,1268167.771014466,1965866.6443767715,1687507.596070636,1401913.680707842,1363323.8876718357,1189024.4504842944
5.75,1816642.6378786974,1906303.3668517694,814786.0703117885,1529309.278662417,369529.5761550744,875040.0408025384,929338.2914145552,1223608.305735386,1068736.2254050542,448197.7740065879,385190.6725008697,1603540.7191795856,1105311.604667157,1245064.8857381344,1402842.5187462159,1417825.1289108787,1169551.4829297587,1588272.4139098115,1416820.4469968267,1908150.7992803045,1678856.1779187992,1419169.0062670559,1216024.5659437925,1130412.1595236026
6.0,1827646.0905951206,1554736.8051224872,905352.1059609689,1715815.3125383556,583091.6983617528,933128.8188534379,932875.6268056966,1322490.538292787,1249023.6080714464,578201.9893366438,588373.6213070152,1629869.0919623785,1040463.4582701772,1143986.3206804506,1321827.0837608539,1580983.8819705918,1311839.04279197,1483418.4725420624,1492966.0071564652,1891063.633465916,1650501.7017403916,1445169.1227820292,1336315.7672685236,1038724.3310198933
6.25,1868473.8780201972,1872718.7827666327,1027360.4442852773,1569542.6758602709,809812.6930809538,840611.5886926651,869984.8278520778,1314231.9415012095,1277945.9608679004,941755.0801901217,605661.8261950645,1726417.7404882424,1043965.5968172774,1156642.3073872514,1276649.368834909,1672449.3789943904,1190140.8635673001,1930543.0832934119,1946848.897007279,2115483.462768115,1533877.221494466,1381374.5691120252,1200132.1688889489,1064960.46446874
6.5,2080053.0284092426,1312144.836394094,1171258.0245807134,1622616.5429820307,961034.3882536613,901461.1159247234,857064.9635860026,1395201.9682436623,1473087.3169354666,1196929.579473143,872977.8865064881,1649339.0892727487,1140324.5232976228,1142224.1425630227,1278351.4596165046,2079790.1032367647,1308460.8233805746,1487224.7234947756,1738744.5953805745,1981133.0455639623,1506609.5727039278,1363206.1038284674,1202288.4371698126,942851.7035391182
6.75,2171772.117119398,1778363.691360429,1040875.3496793024,1484561.6512156576,1140794.7822656846,858156.866903659,843974.2764965668,1976326.8123383727,1668334.144151222,1119607.3174067093,1039429.5746579566,1584919.451890234,1087710.9776915386,1137145.3496149592,1187038.0931820832,2203988.5108736455,1149944.6634522602,1956026.3049366102,1870183.239269346,1863769.7098484114,1176467.3123801053,1304909.3014194742,1228115.833889842,1056110.0777209587
7.0,2359743.7227378413,1290111.0758082643,972512.34810552,1574388.4288429618,1326760.2298717592,864149.8814223446,890330.016331546,2202914.7643799074,1748984.6011886373,1629271.8050329117,1491054.1115161125,1525835.9914284497,972024.1387516111,1131935.7641412094,1119781.0666222796,1728660.465971727,1275157.4763191044,2029687.969888486,1966992.5445519015,1826482.3780384324,1372549.4483347312,1291492.1079129726,1147661.6027505547,968195.1368528679
7.25,2238067.5824501067,1323409.5571471974,1304077.6986874454,1479055.2847522981,1446683.578225254,789819.5655546449,845950.9311843179,2240138.128765924,2201051.9552744254,1642196.1317057647,1719731.5308765387,1518928.2185113877,926840.7637494802,1127340.4142297246,1051839.2403921708,1532491.8517378904,1751038.4393235967,1610585.960091874,1701513.0333389416,1615496.5494441688,1233537.9602454677,1267769.3609287813,1280399.3515434563,923530.8075710759
7.5,2100060.4653273597,1699621.3553765267,1315578.9356716126,1674609.5564685464,1308541.4274410242,777245.33475722,906778.2271807678,2103352.5381882563,2755003.379925724,2004236.7224507201,2183356.227144691,1565938.8043746725,994431.3287204355,1161965.721984513,1039997.4050380215,1527301.1581758,1838994.2561809719,1330021.5389352292,1793751.1104871295,1581765.9049743526,1227620.6198126525,1304284.5680687428,1208301.9556796253,891017.3266627267
