SST,1985-1990,2019-2023
14.75,1407310.0347116888,1440196.556539476
15.0,1420160.0273632854,1430671.8116698563
15.25,1360703.1161556393,1362934.4526477754
15.5,1366132.5331464708,1396445.9105480611
15.75,1396654.4049117416,1298741.9631000161
16.0,1367892.6367631108,1319244.554666996
16.25,1391509.7954413742,1315719.1840521991
16.5,1419549.4801021218,1259102.7500542402
16.75,1472303.291572377,1316033.8750035763
17.0,1492677.1790538728,1411632.865606457
17.25,1414011.362228617,1440256.5031788945
17.5,1444282.9143908322,1464055.660261333
17.75,1525177.694418013,1456977.2750147283
18.0,1505202.338529259,1459298.5661064684
18.25,1528228.8412135392,1442537.0781387687
18.5,1573537.5542297512,1477303.3601049185
18.75,1496322.4778609276,1592816.4710677862
19.0,1684810.8368901461,1682399.095778972
19.25,1774032.0075387359,1738639.7700288296
19.5,1824659.0453787893,1851925.7846461833
19.75,1770693.0695001483,1863300.601466149
20.0,1848577.3049793243,1892599.2395277321
20.25,1964184.5163257718,1845905.3948141038
20.5,2071640.5905563831,1960144.6036671698
20.75,2156102.3951823115,1928427.8377443552
21.0,2229066.318733275,2023016.961451605
21.25,2213693.552093029,2193585.3174176514
21.5,2167016.3529232442,2156734.8120595217
21.75,2250616.134204805,2289442.899566114
22.0,2357508.1217776835,2241480.45752725
22.25,2382553.299933046,2222541.344501257
22.5,2553025.0569713116,2272585.8906151354
22.75,2685071.264449388,2425340.885355562
23.0,2776286.22620371,2395111.323245555
23.25,2737009.613826394,2438481.2285878956
23.5,2875395.3625335693,2505667.751057118
23.75,2938705.6063405573,2632784.0122211277
24.0,3218326.5834831,2705348.2546901703
24.25,3417259.968291104,2867777.9130114913
24.5,3573427.3389270008,3106978.7288559377
24.75,3832858.1729865074,3158875.8623803556
25.0,4306910.225963354,3101939.535418004
25.25,4797056.898636997,3218625.3301660717
25.5,4811444.009693921,3427783.531881869
25.75,5279691.409163803,3747011.4055363834
26.0,5584086.018249363,3957700.787769735
26.25,6012398.731687784,4071480.3863137066
26.5,7148234.356583178,3897795.3208172023
26.75,7384727.73005116,4557883.723140061
27.0,7968466.214434117,5356450.612969458
27.25,8526450.956902713,5512616.153372139
27.5,8995961.99889335,6047349.5719355345
27.75,11060909.444454253,6639003.255302876
28.0,13028410.951467127,7517297.463254958
28.25,12560584.643820524,8845037.830742985
28.5,10892710.064635813,10905020.48021856
28.75,11464387.085784435,11160916.590672553
29.0,13088850.092300415,11953186.942778498
29.25,12717242.576180995,12719956.065796196
29.5,11403673.014215171,14173398.438592732
29.75,7031026.3932368755,14932670.104087055
30.0,4270482.539509833,16690321.972165942
30.25,1595683.670754373,13765066.225117445
30.5,581880.9011241198,8209867.271515906
30.75,255544.04203408957,3173749.0846728683
31.0,89840.6152768135,1635084.8343368769
31.25,40486.593058645725,626086.9349940419
31.5,56437.14393556118,378981.0220948458
31.75,78863.98541069031,173757.73918497562
32.0,78668.76032805443,131411.72299838066
32.25,53030.6152176857,83147.60779827833
32.5,31314.631722331047,54729.34274083376
32.75,23471.2582218647,45249.15741235018
33.0,12583.781083464622,42016.71844857931
33.25,6978.670992076397,26376.61809104681
33.5,2997.7268360853195,25905.669811308384
33.75,84.40007597208023,32437.733114659786
34.0,,40826.1241646409
34.25,,35698.4228361845
34.5,,19127.473472356796
34.75,,18132.179285526276
35.0,,5124.503551065922
35.25,,
35.5,,
35.75,,
36.0,,
36.25,,
36.5,,
36.75,,
37.0,,
37.25,,
37.5,,
37.75,,
38.0,,
38.25,,
38.5,,
38.75,,
39.0,,
39.25,,
39.5,,
